line_number,filename,current_label,suggested_label,confidence
409,IMG_20260317_194010516_HDR.jpg,"79 Baldwin St (Culture Boutique / Golden Gate Ltd., bailiff notice)","79 Baldwin St (Culture Boutique / Golden Gate Ltd., bailiff notice)",medium
416,IMG_20260318_131935172_HDR.jpg,"Kensington Market area (indoor, field notes)","Kensington Market area (indoor, field notes)",low
432,IMG_20260318_142013766_HDR.jpg,Augusta Ave,Augusta Ave,medium
433,IMG_20260318_142025062_HDR.jpg,Augusta Ave,Augusta Ave,medium
434,IMG_20260318_142032983_HDR.jpg,Augusta Ave,Augusta Ave,medium
435,IMG_20260318_142045898_HDR.jpg,Augusta Ave,Augusta Ave,medium
436,IMG_20260318_142054814_HDR.jpg,Augusta Ave,Augusta Ave,medium
437,IMG_20260318_142105931_HDR.jpg,Augusta Ave,Augusta Ave,medium
438,IMG_20260318_142108112_HDR.jpg,Augusta Ave,Augusta Ave,medium
439,IMG_20260318_142118334_HDR.jpg,Augusta Ave,Augusta Ave,medium
440,IMG_20260318_142129630_HDR.jpg,Augusta Ave,Augusta Ave,medium
441,IMG_20260318_142139406_HDR.jpg,Augusta Ave,Augusta Ave,medium
443,IMG_20260318_142158621_HDR.jpg,Augusta Ave,Augusta Ave,medium
444,IMG_20260318_142206496_HDR.jpg,Augusta Ave,Augusta Ave,medium
445,IMG_20260318_142215917_HDR.jpg,Augusta Ave,Augusta Ave,medium
446,IMG_20260318_142225392_HDR.jpg,~297 Augusta Ave (wall/poster detail),~297 Augusta Ave (wall/poster detail),low
447,IMG_20260318_142229531.jpg,~297 Augusta Ave (wall/poster detail),~297 Augusta Ave (wall/poster detail),low
448,IMG_20260318_142239273_HDR.jpg,268 Augusta Ave (Supermarket Bar and Variety),268 Augusta Ave (Supermarket Bar and Variety),medium
449,IMG_20260318_142249679_HDR.jpg,268 Augusta Ave (Supermarket Bar and Variety),268 Augusta Ave (Supermarket Bar and Variety),medium
450,IMG_20260318_142254955_HDR.jpg,268 Augusta Ave (Supermarket Bar and Variety),268 Augusta Ave (Supermarket Bar and Variety),medium
469,IMG_20260318_142624822_HDR.jpg,pole texture,pole texture,medium
470,IMG_20260318_142637039_HDR.jpg,293 Augusta Ave (The Arch Cafe/Bar),293 Augusta Ave (The Arch Cafe/Bar),low
483,IMG_20260318_145005054_HDR.jpg,"Augusta Ave (Welcome to Kensington mural, La Cevicheria, Romeo's)","Augusta Ave (Welcome to Kensington mural, La Cevicheria, Romeo's)",medium
517,IMG_20260318_151816648_HDR.jpg,"Kensington Market area (vacant lot, graffiti, near Dundas/Spadina)","Kensington Market area (vacant lot, graffiti, near Dundas/Spadina)",low
523,IMG_20260318_152140663_HDR.jpg,Rear lane behind Baldwin/Augusta (RICKY mural),Rear lane behind Baldwin/Augusta (RICKY mural),medium
524,IMG_20260318_152321300_HDR.jpg,Rear lane behind Baldwin/Augusta (RICKY mural),Rear lane behind Baldwin/Augusta,medium
525,IMG_20260318_152330797_HDR.jpg,Rear lane behind Baldwin/Augusta (RICKY mural),Rear lane behind Baldwin/Augusta,medium
526,IMG_20260318_152340182_HDR.jpg,Rear lane behind Baldwin/Augusta (RICKY mural),Rear lane behind Baldwin/Augusta,medium
527,IMG_20260318_152437037_HDR.jpg,Rear lane behind Baldwin/Augusta (RICKY mural wider),Rear lane behind Baldwin/Augusta,medium
529,IMG_20260318_152453252_HDR.jpg,Rear lane behind Baldwin/Augusta (RICKY mural wider),Rear lane behind Baldwin/Augusta,medium
530,IMG_20260318_152504590_HDR.jpg,Rear lane behind Baldwin/Augusta (RICKY mural wider),Rear lane behind Baldwin/Augusta,medium
531,IMG_20260318_152507457_HDR.jpg,Rear lane behind Baldwin/Augusta (RICKY mural wider),Rear lane behind Baldwin/Augusta,medium
532,IMG_20260318_152514951_HDR.jpg,Rear lane behind Baldwin/Augusta (RICKY mural wider),Rear lane behind Baldwin/Augusta,medium
533,IMG_20260318_152522596_HDR.jpg,Rear lane behind ~30-35 Oxford St (lakeshore mural),Rear lane behind Oxford St (lakeshore mural),medium
534,IMG_20260318_152528914_HDR.jpg,"Rear lane behind ~30-35 Oxford St (SOUR tags, lakeshore)",Rear lane behind Oxford St,medium
535,IMG_20260318_152535233_HDR.jpg,"Rear lane behind ~33-37 Oxford St (purple wolf mural, CassieTes)",Rear lane behind Oxford St (purple wolf mural),medium
536,IMG_20260318_152540492_HDR.jpg,Rear lane behind ~33-37 Oxford St (stars on black garage),Rear lane behind Oxford St (stars on black garage),medium
537,IMG_20260318_152547124_HDR.jpg,"Rear lane behind ~35-37 Oxford St (cinder block, TCR/SMOKE)",Rear lane behind Oxford St,medium
538,IMG_20260318_152554326_HDR.jpg,Rear lane behind ~35-37 Oxford St (CLONE piece),Rear lane behind Oxford St (CLONE piece),medium
539,IMG_20260318_152600835_HDR.jpg,"Rear lane behind ~37-39 Oxford St (silver/white, NSSK)",Rear lane behind Oxford St,medium
540,IMG_20260318_152607838_HDR.jpg,Rear lane behind ~37-39 Oxford St (yellow CESOP piece),Rear lane behind Oxford St,medium
541,IMG_20260318_152613048_HDR.jpg,"Rear lane, looking north toward Oxford St (Canadian flag)",Rear lane behind Oxford St (Canadian flag),medium
542,IMG_20260318_152619075_HDR.jpg,"Rear lane intersection (gold/red wildstyle, No Parking)",Rear lane behind Oxford St,medium
543,IMG_20260318_152625643_HDR.jpg,"Rear lane bend (TACO TIME fence, grey house, conifers)",Rear lane behind Oxford St,medium
544,IMG_20260318_152631992_HDR.jpg,Rear lane behind ~35-41 Oxford St (gold ZICE piece),Rear lane behind Oxford St,medium
545,IMG_20260318_152638132_HDR.jpg,"Rear lane, rear of ~33-37 Oxford St (Victorian gable houses)",Rear lane behind Oxford St,medium
546,IMG_20260318_152653133_HDR.jpg,"Rear lane behind Oxford St (LORD in red, metal garage)",Rear lane behind Oxford St,medium
547,IMG_20260318_152659187_HDR.jpg,"Rear lane behind Oxford St (No Parking sign, cedar trees)",Rear lane behind Oxford St,medium
