line_number,filename,current_label,suggested_label,confidence
1061,IMG_20260320_151856530_HDR.jpg,"St. Stephen-in-the-Fields church, Bellevue Ave at College St","Construction/demolition site near Bellevue Ave & College St",low
1067,IMG_20260320_152032380_HDR.jpg,"St. Stephen-in-the-Fields church, Bellevue Ave at College St","St. Stephen-in-the-Fields Church heritage plaque (Eglise Anglicane St. Stephen-In-The-Fields)",high
1070,IMG_20260320_152155804_HDR.jpg,"St. Stephen-in-the-Fields church, Bellevue Ave at College St","St. Stephen-in-the-Fields Church, south side exterior (gothic windows and spire)",high
1077,IMG_20260320_152453705_HDR.jpg,"St. Stephen-in-the-Fields church, Bellevue Ave at College St","St. Stephen-in-the-Fields Church, bell tower with scaffolding",high
1080,IMG_20260320_153358944_HDR.jpg,"St. Stephen-in-the-Fields church, Bellevue Ave at College St","St. Stephen-in-the-Fields Church, front entrance with red door and scaffolding",high
1507,IMG_20260320_171611033_HDR.jpg,"Bathurst St east side (Sanderson Library, storefronts)","Bathurst St east side, construction hoarding with Miu Miu ads and UNITED banner, looking south",medium
1526,IMG_20260320_172015275_HDR.jpg,"Bathurst St east side (Sanderson Library, storefronts)","Sanderson Branch Library (LIBRARY signage visible), 327 Bathurst St",high
1527,IMG_20260320_172019237_HDR.jpg,"Bathurst St east side (Sanderson Library, storefronts)","Sanderson Branch Library rear/side view, looking east across parking area",high
1528,IMG_20260320_172045043_HDR.jpg,"Bathurst St east side (Sanderson Library, storefronts)","Noventa Energy building at Bathurst St & College St intersection (traffic light visible)",high
1529,IMG_20260320_172125134_HDR.jpg,"Bathurst St east side (storefronts, graffiti, construction)","Noventa Energy building, wider view looking north on Bathurst St, utility pole 270 visible",medium
1530,IMG_20260320_172128846_HDR.jpg,"Bathurst St east side (storefronts, graffiti, construction)","~399 Bathurst St east side, Noventa Energy banner on building, looking north with crane",medium
1531,IMG_20260320_172136446_HDR.jpg,"Bathurst St east side (storefronts, graffiti, construction)","~399 Bathurst St east side, Noventa Energy building and intersection, looking north",medium
1532,IMG_20260320_172150110_HDR.jpg,"Bathurst St east side (storefronts, graffiti, construction)","~399 Bathurst St east side, construction hoarding and building with Noventa sign to right",medium
1533,IMG_20260320_172209897_HDR.jpg,"Bathurst St east side (storefronts, graffiti, construction)","~405-411 Bathurst St east side, multi-storey office building with angled facade",medium
1534,IMG_20260320_172221815_HDR.jpg,"Bathurst St east side (storefronts, graffiti, construction)","~411 Bathurst St east side, TTC bus stop shelter with yellow dumpster/bin",low
1535,IMG_20260320_172231961_HDR.jpg,"Bathurst St east side (storefronts, graffiti, construction)","Cardinal Funeral Home, Bathurst St east side (signage: CARDINAL FUNERAL HOME)",high
1536,IMG_20260320_172236084_HDR.jpg,"Bathurst St east side (storefronts, graffiti, construction)","World Car Park parking lot sign (416-597-1717), Bathurst St east side",high
1537,IMG_20260320_172241176_HDR.jpg,"Bathurst St east side (storefronts, graffiti, construction)","World Car Park entrance with Public Parking sign and graffiti, Bathurst St east side",high
1538,IMG_20260320_172253901_HDR.jpg,"Bathurst St east side (storefronts, graffiti, construction)","~415-421 Bathurst St east side, multi-storey office/apartment building looking north",medium
1539,IMG_20260320_172321173_HDR.jpg,"Bathurst St east side (storefronts, graffiti, construction)","~415-421 Bathurst St east side, same building looking north, Shoppers Drug Mart visible",medium
1540,IMG_20260320_172326558_HDR.jpg,"Bathurst St east side (storefronts, graffiti, construction)","~421-427 Bathurst St east side, Shoppers Drug Mart and brick office building, TTC bus, crane",high
1541,IMG_20260320_172352203_HDR.jpg,"Bathurst St east side (storefronts, graffiti, construction)","~427 Bathurst St east side, Shoppers Drug Mart storefront (signage visible)",high
1542,IMG_20260320_172403595_HDR.jpg,"Bathurst St east side (storefronts, graffiti, construction)","~429-435 Bathurst St east side, brick office building with ground-floor storefronts under renovation",medium
1543,IMG_20260320_172423684_HDR.jpg,"Bathurst St east side (storefronts, graffiti, construction)","~435-441 Bathurst St east side, construction site (Never been done is what we do together hoarding)",medium
1544,IMG_20260320_172427802_HDR.jpg,"Bathurst St east side (storefronts, graffiti, construction)","~435-441 Bathurst St east side, construction site with crane, looking north",medium
1547,IMG_20260320_172528380_HDR.jpg,"Bathurst St east side (Ukrainian Cathedral area, construction)","St. Josaphat Ukrainian Catholic Cathedral, ~143 Franklin Ave at Bathurst St (Ukrainian flags visible)",high
1567,IMG_20260320_172918924_HDR.jpg,"Bathurst St east side (Ukrainian Cathedral area, construction)","~455-461 Bathurst St east side, Victorian-era residential houses",low
1570,IMG_20260320_173007360_HDR.jpg,"Bathurst St east side (Ukrainian Cathedral area, construction)","~463-465 Bathurst St east side, red brick Victorian row house with green awning",low
1587,IMG_20260320_173216285_HDR.jpg,"Bathurst St east side (Ukrainian Cathedral area, construction)","~467-471 Bathurst St east side, rear/upper view of brick buildings with satellite dish",low
1607,IMG_20260320_173540380_HDR.jpg,"Bathurst St & College St intersection","Bathurst St & College St intersection, SE corner (501 College condos/heritage building)",high
1626,IMG_20260320_174000624_HDR.jpg,"College St south side near Borden St (eastbound)","Law Office of Fisch Amonette & Quetzal restaurant, ~449-451 College St south side",high
1627,IMG_20260320_174006759_HDR.jpg,"College St south side near Borden St (eastbound)","College St south side near Borden St, bike rack / warning sign close-up",low
1628,IMG_20260320_174019000_HDR.jpg,"College St south side near Borden St (eastbound)","College St south side near Borden St, street furniture close-up",low
1629,IMG_20260320_174029762_HDR.jpg,"College St south side near Borden St (eastbound)","~437-443 College St south side (Istanbul cafe, 4P Manic, Bollywood Tacos storefronts)",high
1630,IMG_20260320_174041739_HDR.jpg,"College St south side near Borden St (eastbound)","~431-437 College St south side (Hollywood Tacos, The Pomegranate Restaurant storefronts)",high
1631,IMG_20260320_174048436_HDR.jpg,"College St south side near Borden St (eastbound)","TTB Trading Co. Ltd. Food Market & Hardware, ~425 College St south side",high
1632,IMG_20260320_174103712_HDR.jpg,"College St south side near Borden St (eastbound)","Parking sign with meter #4623, College St south side near Borden St",medium
1633,IMG_20260320_174110048_HDR.jpg,"College St south side near Borden St (eastbound)","Toby's Pub and Eatery, ~411 College St south side (address 411 visible on door)",high
