filename,new_address,status
IMG_20260320_160231823_HDR.jpg,68 Bellevue Ave,reviewed
IMG_20260320_160244095_HDR.jpg,68 Bellevue Ave,reviewed
IMG_20260320_160248264_HDR.jpg,66 1/2 Bellevue Ave,reviewed
IMG_20260320_160257450_HDR.jpg,66 Bellevue Ave,reviewed
IMG_20260320_160305091_HDR.jpg,64 Bellevue Ave,reviewed
IMG_20260320_160315246_HDR.jpg,62 Bellevue Ave,reviewed
IMG_20260320_160324580_HDR.jpg,60 Bellevue Ave,reviewed
IMG_20260320_160333010_HDR.jpg,60 Bellevue Ave,reviewed
IMG_20260320_160344171_HDR.jpg,58 Bellevue Ave,reviewed
IMG_20260320_160353198_HDR.jpg,56 Bellevue Ave,reviewed
IMG_20260320_160400856_HDR.jpg,54 Bellevue Ave,reviewed
IMG_20260320_160430131_HDR.jpg,45 Bellevue Ave,reviewed
IMG_20260320_160435829_HDR.jpg,45 Bellevue Ave,reviewed
IMG_20260320_160445755_HDR.jpg,45 Bellevue Ave,reviewed
IMG_20260320_160456341_HDR.jpg,47 Bellevue Ave,reviewed
IMG_20260320_160457768_HDR.jpg,47 Bellevue Ave,reviewed
IMG_20260320_160507544_HDR.jpg,49 Bellevue Ave,reviewed
IMG_20260320_160512599_HDR.jpg,49 Bellevue Ave,reviewed
IMG_20260320_160524069_HDR.jpg,53-51 Bellevue Ave,reviewed
IMG_20260320_160713463_HDR.jpg,40-42 Bellevue Ave,reviewed
IMG_20260320_160802868_HDR.jpg,30 Bellevue Ave,reviewed
IMG_20260320_161006378_HDR.jpg,14 Bellevue Ave,reviewed
IMG_20260320_161046219_HDR.jpg,4-6 Bellevue Ave,reviewed
IMG_20260320_161311929_HDR.jpg,62 Wales Ave,reviewed
IMG_20260320_161500319_HDR.jpg,"43.652826, -79.404534",reviewed
IMG_20260320_161743253_HDR.jpg,"43.652331, -79.404776",reviewed
IMG_20260320_162007818_HDR.jpg,29A-11 Casimir St,reviewed
IMG_20260320_162108029_HDR.jpg,9-7 Casimir St,reviewed
IMG_20260320_162434280_HDR.jpg,"43.652133, -79.403629",reviewed
IMG_20260320_162505275_HDR.jpg,"43.652133, -79.403629",reviewed
IMG_20260320_162519470_HDR.jpg,"43.652180, -79.403457",reviewed
IMG_20260320_162527270_HDR.jpg,"43.652180, -79.403457",reviewed
IMG_20260320_162533368_HDR.jpg,"43.652180, -79.403457",reviewed
IMG_20260320_162550765_HDR.jpg,"43.652180, -79.403457",reviewed
IMG_20260320_162600640_HDR.jpg,"43.652289, -79.403511",reviewed
IMG_20260320_162612388.jpg,"43.652289, -79.403511",reviewed
IMG_20260320_162615887_HDR.jpg,"43.652435, -79.403564",reviewed
IMG_20260320_162618438_HDR.jpg,"43.652435, -79.403564",reviewed
IMG_20260320_162633301_HDR.jpg,"43.652435, -79.403564",reviewed
IMG_20260320_162644005_HDR.jpg,"43.652435, -79.403564",reviewed
IMG_20260320_162647403_HDR.jpg,"43.652435, -79.403564",reviewed
IMG_20260320_162701390_HDR.jpg,"43.652459, -79.403469",reviewed
IMG_20260320_162705196_HDR.jpg,"43.652460, -79.403415",reviewed
IMG_20260320_162709445_HDR.jpg,"43.652460, -79.403415",reviewed
IMG_20260320_162718244_HDR.jpg,"43.652460, -79.403415",reviewed
IMG_20260320_162729254_HDR.jpg,"43.652523, -79.403260",reviewed
IMG_20260320_162737127_HDR.jpg,"43.652523, -79.403260",reviewed
IMG_20260320_162742805_HDR.jpg,"43.652507, -79.403241",reviewed
IMG_20260320_162751535_HDR.jpg,"43.652479, -79.403347",reviewed
IMG_20260320_162759175_HDR.jpg,"43.652479, -79.403347",reviewed
IMG_20260320_162813394_HDR.jpg,"43.652523, -79.403260",reviewed
IMG_20260320_162819989_HDR.jpg,"43.652523, -79.403260",reviewed
IMG_20260320_162831038_HDR.jpg,"43.652537, -79.403082",reviewed
IMG_20260320_162834701_HDR.jpg,"43.652537, -79.403082",reviewed
IMG_20260320_162849544_HDR.jpg,"Hickory St (43.652519, -79.403070)",reviewed
IMG_20260320_162858498_HDR.jpg,"Hickory St (43.652519, -79.403070)",reviewed
IMG_20260320_162905398_HDR.jpg,"Hickory St (43.652519, -79.403070)",reviewed
IMG_20260320_162933651_HDR.jpg,"43.652558, -79.402979",reviewed
IMG_20260320_162943033_HDR.jpg,12-14 Hickory St,reviewed
IMG_20260320_162950159_HDR.jpg,12 Hickory St,reviewed
IMG_20260320_162957940_HDR.jpg,10 Hickory St,reviewed
IMG_20260320_163003718_HDR.jpg,6-8 Hickory St,reviewed
IMG_20260320_163038732_HDR.jpg,650 Dundas St (Portugal Auto Garage) - east side on Hickory St,reviewed
IMG_20260320_163445980_HDR.jpg,640 Dundas St (PARANOID Streetwear Store) - wesr side on Hickory St,reviewed
IMG_20260320_163825028_HDR.jpg,"Lane N Dundas W Denison Ave / Hickory St (43.652511, -79.403072)",reviewed
IMG_20260320_164022404_HDR.jpg,"Lane N Dundas W Denison Ave / Denison Ave (43.652631, -79.402568)",reviewed
IMG_20260320_164307688_HDR.jpg,Bellevue Park (Bellevue Ave/Wales Ave),reviewed
IMG_20260320_164351591_HDR.jpg,27 Wales ave - west side on Denison Ave,reviewed
IMG_20260320_164410224_HDR.jpg,157-155 Denison Ave,reviewed
IMG_20260320_164421483_HDR.jpg,155 Denison Ave,reviewed
IMG_20260320_164431695_HDR.jpg,153 Denison Ave,reviewed
IMG_20260320_164440037_HDR.jpg,151 Denison Ave,reviewed
IMG_20260320_164446923_HDR.jpg,149 Denison Ave,reviewed
